NUTS,air passengers,GDP,farm labour force,deaths,hosp discharges resp diseases,stock of vehicles,thousand hours worked,students tertiary ed,health personnel,students enrolled,utilised agricultural area,hospital beds,education and training,crude death rate,longterm care beds,regional GWA,pop density,unemployment rate,pct leavers from education,NEET rate,compensation of employees,life expectancy,covid_severity,Covid_Cases_Density
FR10,0.15288407115565036,2.0191000245705175,-0.9851051536422166,-1.8641109158161966,-0.4429318133047663,-0.29118159657771453,0.15015361200214242,0.8109985758204172,-0.06002676208095427,0.5295218822548873,-0.8339710088256219,-0.04519652936681202,0.43572264006636563,-1.7612831487118241,-0.5227848038410162,-0.23490510800986864,0.4131591315280191,0.032784863230562934,-1.1101797709033006,-0.40238188980960743,2.2997678770126995,0.21445007775491076,below_than_avg,0.002465269452844745
FR23,-0.5764384748180009,0.5612881730700192,-0.4062581158613824,-0.006889693704102692,-0.27085165318332377,-0.28883764313435606,-0.41918658732935044,-0.019053541937774067,-0.6914414182605156,0.3160543437619791,0.34999845965676657,1.7070214704849818,-0.05329635500511949,-0.9834731499484515,-0.6625429212246076,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,0.7843222121570007,0.21445007775491076,below_than_avg,0.0005667839267563059
FR24,-0.5805855774661877,0.008420272588814445,-0.3821322186182747,0.05428147014086362,-0.37872165788935813,0.009158659658628086,-0.46969558572996223,-0.5007139098789798,-0.8673756088430871,0.29933089804921154,0.9805027182452151,0.12910657510029944,0.36708839514405217,-0.07477861047607783,-0.7195379966420814,-0.745115609479884,-0.3632007952695287,0.18929626917993264,-0.4738253841689781,-0.10057787945707038,0.16593288695882674,0.4187819968309093,below_than_avg,0.0009209868863627683
FR26,-0.19608885386277575,1.0261921350343866,-0.24375031882674986,0.15943545066323264,-0.32526015579424983,-0.01817525993865971,-0.07562313793728039,0.2662402856478263,-0.6071500991581792,0.1276668199760218,0.9096227271805154,1.9516656594981165,-0.05329635500511949,-0.9834731499484515,-0.7545131733725328,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,1.262052195683729,0.21445007775491076,below_than_avg,0.0014657273510950194
FR30,-0.5002955756718992,-0.5569317102438536,-0.6916096772141183,-0.4996251482466168,-0.2228516971588866,-0.9398539461052124,-1.2455496896501639,-0.7052624295647407,-0.6126165599783696,0.5434344935532925,-0.174715520231676,1.698498632546282,-0.05329635500511949,-0.9834731499484515,-0.6260399994418652,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,-0.36474772516424864,0.21445007775491076,below_than_avg,0.0011982708158846454
FR41,-0.4246159023491697,-0.4438667129303749,-0.408389099476262,-0.35164231067090784,-0.5754601394314872,-0.8740286485543461,-1.1619947973270455,-0.6358787536046071,-0.48282399809053866,0.17292295317336845,0.22388724463772372,3.3562736262786514,-0.05329635500511949,-0.9834731499484515,-0.1107265008205642,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,-0.24856342964697858,0.21445007775491076,below_than_avg,0.002344471696361381
FR51,-0.4281075499524728,0.13933155301375538,-0.2751410557208919,-0.5122202105535796,-0.4797308741726003,0.016079292221372745,-0.30987963947697605,-0.1364986210540483,-0.6626224868302193,0.4103478104343376,0.23535230771372567,-0.13997159410722457,0.727418180986199,-0.5745393176803142,-0.7411301267144625,-0.20089107457853378,-0.32048242609167316,-0.2578791763896944,-0.6380458710681582,-0.2850136635613986,0.3458587141460272,0.7048466835373083,below_than_avg,0.0006175327445559303
FR52,-0.5354835500011434,0.036537527235132254,-0.25139714293532484,0.029884469758139486,-0.3912731791167902,0.08594391022018644,-0.3773211228058026,-0.021047286105450674,-0.4522212288934096,0.2156709348188664,0.11029006963786701,0.10890634232351094,0.6073082523721499,0.021692070642280428,-0.7333284419807625,-0.3369472083038707,-0.31717155059773733,-0.3025967209466571,-1.3975656229768656,-0.6538852317700552,0.19170760789015726,0.3370492292005087,below_than_avg,0.0004085127871648379
FR61,-0.4450190593782375,-0.5639824543739501,-0.09801119790473581,0.19620660458822986,-0.38185818876976513,-0.9439588180049733,-1.2507601807887672,-0.7095892022850733,-0.35621220113602353,0.0006310831684840307,0.492955577326744,3.8345487267088085,-0.05329635500511949,-0.9834731499484515,-0.7081919433870661,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,-0.3719929890309831,0.21445007775491076,below_than_avg,0.0003823260042828488
FR62,-0.3986781229530208,-0.5485646782852791,-0.23220896643710418,-0.17733732433162286,-0.39546207347267054,-0.9349827447486709,-1.2393664634442279,-0.7001279012141827,-0.27506065580142103,0.11513168133275137,0.3372988806782127,1.979171181936648,-0.05329635500511949,-0.9834731499484515,-0.7263619245423151,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,-0.3561498590095957,0.21445007775491076,below_than_avg,0.0005090854104186093
FR71,-0.45511437117575115,-0.9136515848796481,-0.5306085702524146,-0.7685149108146804,-0.41092973445793446,-1.1475326481628092,-1.5091652331244387,-0.9241678094644746,-0.3628325254735066,0.36143298552624065,-0.1572866683794569,2.0357595052634054,-0.05329635500511949,-0.9834731499484515,-0.6767203953098692,-0.44749281695570836,-0.21739306863902608,0.6588304870280409,-0.0037442404200751654,0.8266311079037807,-0.7313089803390885,0.21445007775491076,below_than_avg,0.0010237909879111811
FR82,-0.17086601259755346,0.260850362110084,-0.6658783224433082,-0.13039689547836872,-0.3164111589536873,0.07000135795741458,-0.35646105677085915,-0.28384678419514564,0.050680485394704655,0.26148596717328787,-0.5963612137071249,0.38025357877445537,0.16118566037711085,-0.19454251533482797,-0.6808962317861315,-0.3029331748725359,-0.28487032626665565,-0.011932681326399611,-0.6380458710681582,0.16769235196740712,0.4212033861532825,0.21445007775491076,below_than_avg,0.0011938753524807675
FRM0,0.44756612485604613,-0.0880129756144985,-0.45317699115604637,-0.49723892365531547,-0.4846978699968075,0.2888164511686966,-0.5103812949547214,-0.895226015384162,-0.6124781610013276,-0.3995245884174772,0.04699432862377379,0.12592434664916158,-0.45652254392371244,-0.4457586810510902,-0.5307901879150217,0.08822820958780869,-0.38403508496307637,0.01042609095208166,-0.9049041622793256,1.1066381619530787,0.20704895798192732,0.9500449864285042,below_than_avg,0.0007401689088580292
FRY1,-0.08458862944934106,-0.340781490713219,-0.25239191396800265,-0.704766053402154,-0.6267635809352942,0.14459157532776493,-0.8475257083829477,-0.15765659546907265,-0.7453336838787633,0.8071269470180051,-0.7731771448580113,0.033473692255667396,-0.6109495949989183,-1.1765731398737236,0.9768904793560039,-0.6770875426172143,-0.21655323680641791,2.0897919128508473,0.18305656342774176,1.6934792931941234,-0.018817863573133455,0.050984542494109636,below_than_avg,0.0002132392495916953
FRY2,-0.1296736804796287,-0.27800834432827537,-0.16510650529568746,-0.23863299305567454,-0.5765634276332247,0.251670578624484,-0.5576072744320891,-1.0652414713487612,-0.5623738518982295,0.34247681614360004,-0.7899116762262146,-0.08017337077758055,-0.4393639826931341,-0.6649988442850239,2.5392644194990517,-1.4424032948222372,-0.1506587391710113,0.97185329892678,0.7167731458500771,1.056337493560989,0.2915941417601216,0.17358369393970757,below_than_avg,0.00027513680413316624
