NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,pct leavers from education,longterm care beds,NEET rate,regional GWA,unemployment rate,pop density,life expectancy,crude death rate,compensation of employees per100k,education and training,hospital beds,covid_severity,covid_density_by100k,Covid_Cases
DED,103.0704786453538,1900.2331085145527,563.3635406538996,1349.371103084968,909.6059104764962,35886.52563259087,45307.012664546644,2053.237688658471,219.66888880780002,3226.1420881419313,22265.384502983936,12.322222222222221,437.825,7.558333333333334,106.01111111111112,4.375,1070.8555555555554,81.617,1263.148888888889,964.9172626993441,7.077777777777778,550.9032110091744,below_than_avg,141.65130350879218,5768
DEE,759.638087062861,2903.482897162452,734.4693003678725,1471.626794825181,2026.9439060462496,62703.08395093453,66161.87849180464,3809.3643579746526,407.55088424617395,5985.449591254798,53434.919732347,12.7,437.825,7.1,102.5,4.8,108.7,81.617,1511.31,1501.0124012316485,5.2,550.9032110091744,below_than_avg,97.4584263949677,2139
DEF,4.476933975210872,3383.9112079353313,878.8565772875496,1203.95085979517,1716.7664276787477,64636.59521594836,67528.07468076878,2879.2623680722713,308.0424485066795,4524.030296029817,34109.071198058526,14.8,437.825,9.3,107.6,3.4,188.2,81.617,1241.54,1654.009111593778,7.4,550.9032110091744,below_than_avg,132.58612157355276,3850
DEG,7.0311027862854125,2997.4416160661635,747.1718560892631,1368.5338463225926,1901.2101934115753,64070.12728171004,70757.17477165323,3919.007472808065,419.2812266872473,6157.725927985283,36593.140081129546,9.6,437.825,5.7,103.3,4.2,132.4,81.617,1388.99,1598.7204330409334,6.0,550.9032110091744,below_than_avg,165.09029342198147,3522
DK01,1632.428198348558,6876.0920096878535,143.5518409033907,829.9463224456034,1554.3684992007143,49250.469793713295,82727.13828592602,6972.394168436688,485.42190427746567,7755.26632116718,5334.711431006006,7.9,437.825,7.1,114.3,6.1,756.0,81.5,844.13,3508.02671472674,22.7,297.59,below_than_avg,399.9950163134479,7384
DK02,0.7165385455939448,3691.322359943584,944.6366492746839,1081.4955114831273,1453.2595935554523,53787.085348100394,54542.31697515641,2883.112261288169,366.50946607130277,7979.253820643236,56134.82389273896,11.9,437.825,8.0,107.8,5.3,118.3,80.8,1094.17,1886.1109751014799,18.9,275.73,below_than_avg,243.02599004727958,2035
DK03,314.52737091255455,4796.371529835951,1396.4459306437304,994.4362912423708,1318.3659620392364,55249.4675436696,67873.97647789847,4277.310615196569,398.90279248306564,8017.2184726577025,63248.86252611183,10.1,437.825,7.9,107.5,5.1,102.0,81.5,1016.24,2455.1064708262984,18.5,252.61,below_than_avg,85.68356764137175,1048
DK04,46.14201486798257,4953.7109640062135,1202.557413634513,857.0200702685585,1280.968680730431,54320.91318967988,69738.07620971998,5369.890073435167,397.63559871526155,8166.684258938131,59689.82312227634,9.6,437.825,7.1,116.5,5.5,103.7,82.0,886.77,2556.4832546707485,18.9,216.92,below_than_avg,124.85486376042343,1656
DK05,244.60280437199967,4502.086667028288,1623.9049659624093,1025.7044831981775,1310.9896666757072,55898.09742073717,67031.50850261723,5453.811938922188,355.8013072604486,7715.752217189662,82300.45293048737,8.4,437.825,7.7,107.0,5.8,76.4,81.3,1048.94,2344.137330151067,17.9,225.31,below_than_avg,94.75604133329718,559
EE00,245.15115397117782,2115.3421882712705,1659.9246337029413,1158.8621615439256,2399.2957596536594,101639.38957641779,88942.7649558758,3422.4846799340244,346.3568943306726,6743.387389990489,72048.70516849062,7.5,116.11,8.9,120.0,6.8,30.5,81.617,1183.46,1037.2723058956672,17.1,453.01,below_than_avg,165.9924633702941,2206
