NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,hospital beds,longterm care beds,crude death rate,pop density,NEET rate,unemployment rate,compensation of employees per100k,pct leavers from education,education and training,life expectancy,regional GWA,covid_severity,covid_density_by100k,Covid_Cases
DEC,34.75575217831423,3686.597351064509,182.3917023934858,1373.5108477464998,1721.6763418709538,148070.5406664255,186940.1883565866,8556.618535182119,916.2169849019668,13422.159398035174,7895.534139166896,552.8486915887851,437.825,1398.5,385.5,7.558333333333334,4.375,2012.8758409017448,11.7,5.3,81.61428571428573,100.6,below_than_avg,2534.9406770987966,25017
DED,103.0704786453538,1900.2331085145527,563.3635406538996,1349.371103084968,909.6059104764962,35886.52563259087,45307.012664546644,2073.7907014392476,222.05527288356114,3253.0080940774724,22265.384502983936,552.8486915887851,437.825,1263.148888888889,1070.8555555555554,7.558333333333334,4.375,964.9172626993441,12.322222222222221,7.077777777777778,81.61428571428573,106.01111111111112,higher_than_avg,4523.65697103442,184202
DEE,759.638087062861,2903.482897162452,734.4693003678725,1471.626794825181,2026.9439060462496,62703.08395093453,66161.87849180464,3847.4962872532556,411.9783338750488,6035.293993594234,53434.919732347,552.8486915887851,437.825,1511.31,108.7,7.1,4.8,1501.0124012316485,12.7,5.2,81.61428571428573,102.5,below_than_avg,2552.508631836784,56022
DEF,4.476933975210872,3383.9112079353313,878.8565772875496,1203.95085979517,1716.7664276787477,64636.59521594836,67528.07468076878,2908.0839295393525,311.3888832146822,4561.704589803935,34109.071198058526,552.8486915887851,437.825,1241.54,188.2,9.3,3.4,1654.009111593778,14.8,7.4,81.61428571428573,107.6,below_than_avg,1272.3101978012744,36945
DEG,7.0311027862854125,2997.4416160661635,747.1718560892631,1368.5338463225926,1901.2101934115753,64070.12728171004,70757.17477165323,3958.236935193986,423.83610948408926,6209.004977949871,36593.140081129546,552.8486915887851,437.825,1388.99,132.4,5.7,4.2,1598.7204330409334,9.6,6.0,81.61428571428573,103.3,below_than_avg,3263.650417319387,69626
DK01,1632.428198348558,6876.0920096878535,143.5518409033907,829.9463224456034,1554.3684992007143,49250.469793713295,82727.13828592602,6972.394168436688,485.42190427746567,7755.26632116718,5334.711431006006,297.59,437.825,844.13,756.0,7.1,6.1,3508.02671472674,7.9,22.7,81.5,114.3,below_than_avg,0.0,0
DK02,0.7165385455939448,3691.322359943584,944.6366492746839,1081.4955114831273,1453.2595935554523,53787.085348100394,54542.31697515641,2883.112261288169,366.50946607130277,7979.253820643236,56134.82389273896,275.73,437.825,1094.17,118.3,8.0,5.3,1886.1109751014799,11.9,18.9,80.8,107.8,below_than_avg,0.0,0
DK03,314.52737091255455,4796.371529835951,1396.4459306437304,994.4362912423708,1318.3659620392364,55249.4675436696,67873.97647789847,4277.310615196569,398.90279248306564,8017.2184726577025,63248.86252611183,252.61,437.825,1016.24,102.0,7.9,5.1,2455.1064708262984,10.1,18.5,81.5,107.5,below_than_avg,0.0,0
DK04,46.14201486798257,4953.7109640062135,1202.557413634513,857.0200702685585,1280.968680730431,54320.91318967988,69738.07620971998,5369.890073435167,397.63559871526155,8166.684258938131,59689.82312227634,216.92,437.825,886.77,103.7,7.1,5.5,2556.4832546707485,9.6,18.9,82.0,116.5,below_than_avg,0.0,0
DK05,244.60280437199967,4502.086667028288,1623.9049659624093,1025.7044831981775,1310.9896666757072,55898.09742073717,67031.50850261723,5453.811938922188,355.8013072604486,7715.752217189662,82300.45293048737,225.31,437.825,1048.94,76.4,7.7,5.8,2344.137330151067,8.4,17.9,81.3,107.0,below_than_avg,0.0,0
EE00,245.15115397117782,2115.3421882712705,1659.9246337029413,1158.8621615439256,2423.442688063081,102553.9493499539,88942.7649558758,3422.4846799340244,346.3568943306726,6743.387389990489,72048.70516849062,453.01,116.11,1183.46,30.5,8.9,6.8,1037.2723058956672,7.5,17.1,81.61428571428573,120.0,higher_than_avg,4125.4319114867385,54826
ES11,194.1839537747466,2384.0035787865872,2845.416548261817,1156.9633892204224,1697.4445273278395,69297.17841242778,69242.42726982097,3682.98285497774,474.76644643364597,5153.423084209529,24255.23349436393,329.67,122.28,1199.91,92.0,9.2,12.0,1030.2998010798522,12.0,11.6,84.0,109.6,higher_than_avg,3622.670384578952,97906
ES12,137.89394238290546,2332.431379361448,1986.4579315516062,1265.3854798169396,1706.4498051327953,61745.07973803095,67170.83832646809,3434.9822700777995,398.96005394057704,4935.425395451365,33007.19698419569,345.79,71.78,1291.62,96.6,12.1,14.1,1068.9381381275277,8.9,11.1,83.2,106.8,higher_than_avg,3850.7251454756556,39235
ES13,201.0687033386677,2436.07526253975,1511.0201446458375,1032.473196563116,1251.2277038675247,64862.94360460724,66993.61937402555,4040.4335254160455,515.1205038565355,5849.708441794817,38282.03877827153,328.34,103.56,1048.38,110.5,10.5,12.1,1082.5085681710475,9.1,11.9,83.9,109.7,higher_than_avg,3596.056237422474,20943
ES21,290.20555122609903,3402.984188296946,606.6314686419952,985.1366154166617,1504.4734502804301,56004.09841681977,79246.72633703312,4075.759499857935,561.864989781366,6361.864807061045,8553.595068013072,325.71,107.94,1000.89,303.7,8.2,9.5,1557.6404959394977,6.5,13.1,84.5,109.5,higher_than_avg,5697.585076865871,124728
ES22,36.557000741802476,3194.70258595084,1724.2718683216835,848.1224172098173,1237.6067959464378,64669.18199141215,78383.35803469564,4172.524672167479,537.6925525773447,6699.8319901174245,83302.74223201815,335.41,96.2,899.51,63.1,9.9,10.1,1450.2619156782314,10.8,13.6,85.0,111.1,higher_than_avg,6449.111893363228,42339
ES23,5959.732617926971,2806.492556919074,2623.99068150957,996.1035795790854,1647.8281650107142,61711.57626190529,76087.91160095084,10987.20923239568,348.1772918770238,6404.246496861657,68318.715162488,323.43,97.33,1023.22,62.6,9.1,10.8,1155.220601966885,14.6,10.5,84.2,106.3,higher_than_avg,7126.87263991188,22516
ES24,25.933356535544107,2859.7381257173956,2966.1746344712187,1023.8038145336543,1410.4739189360857,59608.53410386723,78610.90418714714,3962.9175552286533,501.00238060696086,6163.9454181772535,170009.313457608,362.29,86.34,1070.73,27.9,11.8,11.7,1279.2210672064816,14.2,10.9,84.4,109.9,higher_than_avg,6160.562806455227,81956
ES30,885.5253867309475,3559.023267588232,84.77756560331095,699.044384909119,1386.794975239615,68561.05496491217,87188.95970812804,6060.484346682144,515.7795949292345,6583.037254108007,4507.884017176053,273.1,122.6,706.52,839.7,9.9,12.5,1742.9644995426163,10.0,12.4,85.8,114.1,higher_than_avg,7019.938142019615,473640
ES41,10.077845106852227,2490.0951856634742,2805.139034700686,1195.9736926598723,1629.4459642186528,69246.41455673931,70849.00431306784,4559.641895018004,466.4126661022518,5344.672713651357,220533.23460931898,349.97,87.57,1214.06,25.6,11.7,12.1,1070.4337262998858,15.4,10.4,84.7,108.0,higher_than_avg,7460.478814245743,179149
ES42,920.4666734362847,2093.331195363212,3683.5986730245204,951.673727508538,1292.3149425534598,70221.1723572196,61893.44304770248,2595.384917728889,281.8307412075164,6569.858336665764,197785.5387831365,233.41,44.91,962.47,25.8,12.4,17.7,874.8632399829092,18.7,9.1,83.9,110.6,higher_than_avg,7127.800097186386,145803
ES43,1772.976947486048,1947.01778472079,5185.601598525018,1060.3787833846054,1409.4440662197653,72113.94952254236,62319.43381177971,3072.0004821187613,307.44487414534564,6054.2628432388965,234630.8166169011,335.24,84.51,1072.25,26.0,16.6,21.8,829.2254366611769,18.4,10.3,83.1,108.7,higher_than_avg,6084.583593460888,64617
ES51,714.7218082606803,3094.663232775091,732.454927559489,843.4927423582931,1608.2253446915902,57880.57469419844,80382.89032333605,4953.512307595002,486.88324158807205,6775.4237000199155,14704.898418106444,384.0,115.07,884.26,238.1,17.0,12.6,1446.366526979693,17.4,10.0,84.3,110.7,higher_than_avg,6054.756004300902,463331
ES52,465.2895876418004,2306.7684215486684,1262.3920310831975,875.184243820413,1290.8649463219933,62865.77108213581,68005.48024085064,4435.610947835909,390.9060849125164,6539.385577553799,12680.587774819802,231.9,181.74,913.8,216.2,12.0,16.2,1039.830069187991,15.5,12.0,83.5,110.9,higher_than_avg,7053.051284452576,354722
ES53,3327.3451857358195,2791.656239030333,620.2894959631625,660.3481385120485,1512.7299758409217,73894.9802804105,73763.3897045159,2086.4358132523903,363.4186128146359,5965.846909909352,14559.871151582729,287.46,204.91,696.86,241.2,18.2,16.1,1212.3810113774805,21.3,11.3,84.2,112.9,higher_than_avg,4167.668132730389,50459
ES61,358.73675688242264,1956.400167349152,2857.2496872229253,831.6148827512068,880.3523154939625,61154.43786053993,60693.63793678358,4066.190434795224,370.72059804085427,6911.739363721727,51532.876005106344,217.98,190.02,864.81,97.4,17.2,22.3,883.2244270314409,21.8,9.6,82.6,110.6,higher_than_avg,5267.004345203981,446541
ES62,1.4619212702235211,2150.0921342655074,2690.599646879562,768.7047842702588,1272.8018186300603,64187.381094301236,70504.50238525745,4627.7782318593845,449.6072415605611,7329.408739232452,24976.260392100576,325.41,458.72,764.5,132.4,12.4,16.2,991.2557172750585,18.7,12.8,82.9,109.9,higher_than_avg,6737.397075758754,101389
ES70,1789.680070380225,2108.3758904815036,983.0164792721655,704.3386833748176,1076.2667009984837,70787.11054845077,63343.53453208594,3144.8033788229914,391.8208022201242,5631.312047606786,2333.9377163619715,290.96,220.55,744.08,299.4,19.7,22.6,971.7245300832548,18.2,10.2,83.5,111.2,below_than_avg,1570.6359253855176,35135
